disposition,disp_refname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
FALSE POSITIVE,Rizzuto et al. 2017,1.0,0.0,Transit,2017.0,K2,Published Candidate,0.0,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,7.0502,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4947.69,167.92,-123.03,0.0,0.705709,0.050538,-0.063115,0.0,0.815,0.103386,-0.093101,0.0,0.0513,0.0126,-0.0126,0.0,[M/H],4.65197,0.085163,-0.124478,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h49m42.30s,57.4262424,+24d27m46.10s,24.4628062,133.002,0.713,-0.704,12.172,0.057,-0.057,9.783,0.017,-0.017,11.9077,0.000978,-0.000978,2017-12-14,2017-12,2017-12-14
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.967865,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5255.0,126.0,-126.0,0.0,0.97198,,,0.0,0.9,,,0.0,,,,,,4.417,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h02m10.88s,135.5453448,+11d36m23.72s,11.6065889,1263.42,116.77,-99.08,15.787,0.275,-0.275,13.93,0.067,-0.067,15.7949,0.002218,-0.002218,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,25.23658,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3777.0,157.0,-157.0,0.0,0.701898,0.0211,-0.0211,0.0,0.664837,0.02042,-0.02042,0.0,,,,,,4.56823,0.012775,-0.012775,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h09m22.89s,137.3453763,+11d41m07.21s,11.685335,223.67,2.088,-2.051,15.082,0.114,-0.114,11.277,0.021,-0.021,14.4291,0.000321,-0.000321,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,10.337864,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6281.0,,,0.0,1.96735,,,0.0,,,,,-0.16,0.099,-0.099,0.0,[M/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h51m17.98s,132.8249194,+11d45m54.19s,11.7650536,468.472,,,12.702,0.332,-0.332,11.295,0.018,-0.018,12.5998,0.000349,-0.000349,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,13.919301,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5330.07,124.95,-113.26,0.0,1.2633,0.071458,-0.073854,0.0,0.92,0.145411,-0.09558,0.0,0.1992,0.0137,-0.0137,0.0,[M/H],4.19884,0.085476,-0.082959,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h43m42.12s,130.925517,+11d46m57.52s,11.7826436,296.218,4.933,-4.777,12.169,0.069,-0.069,10.157,0.02,-0.02,11.9842,0.000217,-0.000217,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.954863,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5544.91,112.0,-103.02,0.0,0.926751,0.050689,-0.03922,0.0,0.98,0.15406,-0.094884,0.0,0.041,0.033,-0.033,0.0,[M/H],4.49537,0.061921,-0.089532,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h05m58.97s,136.4957157,+11d49m10.87s,11.8196859,344.667,5.011,-4.872,12.987,0.057,-0.057,11.073,0.023,-0.023,12.785,0.00093,-0.00093,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.554633,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4729.0,123.0,-123.0,0.0,0.951566,,,0.0,0.76,,,0.0,,,,,,4.362,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h42m32.47s,130.6353009,+11d58m58.04s,11.98279,880.732,44.335,-40.357,15.938,0.252,-0.252,13.375,0.031,-0.031,15.6851,0.00133,-0.00133,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2.153178,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5523.0,124.0,-124.0,0.0,0.997379,,,0.0,0.97,,,0.0,,,,,,4.42712,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h10m06.05s,137.5252038,+12d01m41.35s,12.0281523,1039.39,48.4,-44.368,15.226,0.115,-0.115,13.5,0.06,-0.06,15.0642,0.001757,-0.001757,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.565934,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5309.0,145.0,-145.0,0.0,1.55349,,,0.0,0.91,,,0.0,,,,,,4.01449,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h06m08.02s,136.5334223,+12d05m30.63s,12.0918411,1311.54,109.6,-94.34,14.638,0.069,-0.069,12.819,0.048,-0.048,14.7956,0.006258,-0.006258,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,15.091257,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5369.0,122.0,-122.0,0.0,1.55474,,,0.0,0.93,,,0.0,,,,,,4.02323,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m39.37s,130.1640344,+12d05m43.34s,12.0953726,1356.66,80.1,-71.83,15.181,0.229,-0.229,13.071,0.028,-0.028,14.8672,0.000256,-0.000256,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,3.102398,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5483.32,35.26,-35.26,0.0,1.85351,,,0.0,0.96,,,0.0,0.034,0.033,-0.033,0.0,[M/H],3.88435,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m13.70s,133.0570679,+12d06m33.86s,12.1094069,1639.65,113.055,-113.055,15.026,0.217,-0.217,12.895,0.028,-0.028,14.8095,0.000879,-0.000879,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,5.817737,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6290.85,93.34,-152.55,0.0,3.03613,0.18348,-0.10556,0.0,1.232,0.198945,-0.161692,0.0,-0.2292,0.0058,-0.0058,0.0,[M/H],3.56404,0.077732,-0.094946,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h51m27.29s,132.8637222,+12d07m40.07s,12.1277962,177.059,3.154,-3.047,8.235,0.002,-0.002,7.086,0.024,-0.024,8.14487,0.000347,-0.000347,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,5.817854,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h51m27.44s,132.864341,+12d07m40.20s,12.1278338,174.516,5.228,-4.937,10.2443,0.0543,-0.0543,,,,10.0918,0.000837,-0.000837,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,1.671965,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3243.0,157.0,-157.0,0.0,0.483697,0.014681,-0.014681,0.0,0.481713,0.020513,-0.020513,0.0,,,,,,4.75171,0.007866,-0.007866,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h50m32.93s,132.637214,+12d08m21.61s,12.1393359,119.437,1.105,-1.085,16.59,0.2,-0.2,11.131,0.02,-0.02,15.0674,0.001314,-0.001314,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,6.663685,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5691.67,148.55,-148.55,0.0,1.05709,,,0.0,1.01,,,0.0,-0.4385,0.0134,-0.0134,0.0,[M/H],4.39416,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h41m57.30s,130.4887643,+12d23m57.97s,12.3994357,965.222,44.685,-44.685,15.064,0.103,-0.103,12.915,0.022,-0.022,14.7191,0.000414,-0.000414,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,11.114394,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5904.69,100.95,-101.05,0.0,2.44643,0.162579,-0.08324,0.0,1.07,0.145026,-0.116926,0.0,-0.657,0.031,-0.031,0.0,[M/H],3.69039,0.080238,-0.063234,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h02m47.58s,135.6982706,+12d25m59.82s,12.4332847,870.321,26.909,-25.37,12.595,0.057,-0.057,11.025,0.017,-0.017,12.4028,0.000351,-0.000351,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.524461,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3112.0,157.0,-157.0,0.0,0.200172,0.006031,-0.006031,0.0,0.169168,0.020071,-0.020071,0.0,,,,,,5.06358,0.025593,-0.025593,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h41m28.66s,130.3694131,+12d26m47.53s,12.4465352,52.773,0.2928,-0.2897,18.14,0.2,-0.2,11.742,0.018,-0.018,16.1204,0.000743,-0.000743,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,9.056947,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4942.0,122.0,-122.0,0.0,1.05773,,,0.0,0.81,,,0.0,,,,,,4.2978,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m51.69s,130.2153862,+12d26m55.01s,12.4486135,656.243,15.018,-14.371,14.771,0.172,-0.172,12.499,0.021,-0.021,14.5702,0.000501,-0.000501,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.737735,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4908.37,48.19,-48.19,0.0,1.53058,,,0.0,0.8,,,0.0,-0.004,0.046,-0.046,0.0,[M/H],3.97144,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h46m03.78s,131.5157358,+12d40m36.25s,12.6767362,892.766,47.1635,-47.1635,14.662,0.092,-0.092,12.27,0.024,-0.024,14.4766,0.001512,-0.001512,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.799768,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,8175.71,107.77,-108.58,0.0,1.67093,0.12447,-0.120565,0.0,2.0,0.361317,-0.281918,0.0,-0.307,0.039,-0.039,0.0,[M/H],4.29318,0.059688,-0.124721,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h53m35.54s,133.3980686,+12d43m08.81s,12.7191133,1242.66,80.93,-71.82,12.853,0.114,-0.114,12.253,0.02,-0.02,12.6984,0.002454,-0.002454,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,1.641114,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,8231.0,124.0,-124.0,0.0,1.10451,,,0.0,2.02,,,0.0,,,,,,4.65708,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h42m59.26s,130.746916,+12d48m42.06s,12.8116845,2809.89,375.62,-302.58,15.424,0.07,-0.07,14.735,0.087,-0.087,15.3216,0.000969,-0.000969,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.555516,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h46m57.94s,131.7414253,+12d59m56.76s,12.9991012,,,,16.571,0.561,-0.561,13.498,0.035,-0.035,16.136,0.004303,-0.004303,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,1.031746,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,7598.94,134.07,-148.64,0.0,1.85084,0.137728,-0.105287,0.0,1.77,0.383382,-0.191756,0.0,-0.1772,0.0373,-0.0373,0.0,[M/H],4.1513,0.099738,-0.084613,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h51m12.30s,132.8012702,+13d01m55.00s,13.0319453,1050.38,60.61,-54.466,12.494,0.126,-0.126,11.517,0.023,-0.023,12.3374,0.000575,-0.000575,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.58337,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5802.79,195.95,-247.63,0.0,0.742872,0.062163,-0.062219,0.0,1.04,0.144103,-0.149473,0.0,0.34,0.209,-0.209,0.0,[M/H],4.71327,0.122372,-0.103805,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h46m33.92s,131.6413223,+13d02m56.76s,13.0490997,336.045,3.891,-3.806,13.443,0.069,-0.069,10.989,0.019,-0.019,12.9972,0.001634,-0.001634,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,3.247194,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5581.0,123.0,-123.0,0.0,1.17125,,,0.0,0.99,,,0.0,,,,,,4.29641,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h39m54.85s,129.978559,+13d16m31.70s,13.2754718,1871.14,336.16,-253.97,16.111,0.378,-0.378,14.373,0.058,-0.058,16.0038,0.000591,-0.000591,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.715676,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4476.31,27.02,-27.02,0.0,7.82356,,,0.0,,,,,0.2198,0.0251,-0.0251,0.0,[M/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h46m46.01s,131.6917066,+13d28m45.63s,13.4793426,911.716,34.722,-34.722,11.805,0.023,-0.023,9.056,0.019,-0.019,11.4692,0.000658,-0.000658,2019-02-26,2018-07,2019-02-26
FALSE POSITIVE,Yu et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.546969,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5162.92,16.67,-16.67,0.0,0.996147,,,0.0,0.87,,,0.0,-0.4212,0.0157,-0.0157,0.0,[M/H],4.38094,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h04m11.94s,136.0497659,+13d29m07.83s,13.4855094,510.106,7.768,-7.768,14.068,0.126,-0.126,11.889,0.023,-0.023,13.8491,0.011912,-0.011912,2019-02-26,2018-07,2019-02-26
